# Data Browser Export
# Version: 1.0
# Start: 2008/04/24 08:00:10.725000000
# End: 2008/04/24 18:00:00.000000000
# Source: Raw
# Spreadsheet: true
# With Severity/Status: false
# Format: Exponential (precision: 4 digits)
#
# Data is in TAB-delimited columns, should import into e.g. Excel

# PV: RTBT_Diag:BCM25I:Power1
# 
# Archives:
# 1) - All -
# 2) - All - (last restart)

#  Time	RTBT_Diag:BCM25I:Power1
2008/04/24 13:27:01.268137666	3.2000E1
2008/04/24 13:27:01.601453666	7.4000E1
2008/04/24 13:27:01.934767666	9.5000E1
2008/04/24 13:27:02.268081666	1.2400E2
2008/04/24 13:27:02.601393666	9.7000E1
2008/04/24 13:27:02.934705666	8.2000E1
2008/04/24 13:27:03.268015666	4.1000E1
2008/04/24 13:27:03.601324666	2.6000E1
2008/04/24 13:27:03.934632666	1.0000E1
2008/04/24 13:27:04.267940666	2.1000E1
2008/04/24 13:27:04.601247666	4.2000E1
2008/04/24 13:27:04.934554666	6.3000E1
2008/04/24 13:27:05.267862666	9.5000E1
2008/04/24 13:27:05.601168666	1.3700E2
2008/04/24 13:27:05.934473666	1.7400E2
2008/04/24 13:27:06.267776666	1.9700E2
2008/04/24 13:27:06.601078666	2.3200E2
